Key,English(en),Japanese(ja),Thai(th)
0011.choice3,คาร์บอนไดออกไซด์,คาร์บอนไดออกไซด์,คาร์บอนไดออกไซด์
0011.choice4,ไฮโดรเจน,ไฮโดรเจน,ไฮโดรเจน
0012.question,สัญลักษณ์ทางเคมีของทองคำคืออะไร,สัญลักษณ์ทางเคมีของทองคำคืออะไร,สัญลักษณ์ทางเคมีของทองคำคืออะไร
0012.choice1,Au,Au,Au
0012.choice2,Go,Go,Go
0012.choice3,Fe,Fe,Fe
0012.choice4,Gd,Gd,Gd
0013.question,ค่า pH ที่เป็นกลางคือ,ค่า pH ที่เป็นกลางคือ,ค่า pH ที่เป็นกลางคือ
0014.question,ดาวเคราะห์ดวงใดอยู่ใกล้ดวงอาทิตย์มากที่สุด,ดาวเคราะห์ดวงใดอยู่ใกล้ดวงอาทิตย์มากที่สุด,ดาวเคราะห์ดวงใดอยู่ใกล้ดวงอาทิตย์มากที่สุด
0014.choice1,ดาวพุธ,ดาวพุธ,ดาวพุธ
0014.choice2,ดาวอังคาร,ดาวอังคาร,ดาวอังคาร
0014.choice3,ดาวศุกร์,ดาวศุกร์,ดาวศุกร์
0014.choice4,โลก,โลก,โลก
0015.question,เราอาศัยอยู่ในชั้นบรรยากาศใดของโลก,เราอาศัยอยู่ในชั้นบรรยากาศใดของโลก,เราอาศัยอยู่ในชั้นบรรยากาศใดของโลก
0015.choice1,troposphere,troposphere,troposphere
0015.choice2,stratosphere,stratosphere,stratosphere
0015.choice3,mesosphere,mesosphere,mesosphere
0015.choice4,thermosphere,thermosphere,thermosphere
0016.question,เรียงวัสดุที่นำไฟฟ้าได้ดีที่สุดจากมากไปน้อย,เรียงวัสดุที่นำไฟฟ้าได้ดีที่สุดจากมากไปน้อย,เรียงวัสดุที่นำไฟฟ้าได้ดีที่สุดจากมากไปน้อย
0016.choice1,เงิน,เงิน,เงิน
0016.choice2,ทองแดง,ทองแดง,ทองแดง
0016.choice3,ทอง,ทอง,ทอง
0017.question,สิ่งใดไม่ได้อยู่ในเลือด,สิ่งใดไม่ได้อยู่ในเลือด,สิ่งใดไม่ได้อยู่ในเลือด
0017.choice1,น้ำเหลือง,น้ำเหลือง,น้ำเหลือง
0017.choice2,เกล็ดเลือด,เกล็ดเลือด,เกล็ดเลือด
0017.choice3,เม็ดเลือดขาว,เม็ดเลือดขาว,เม็ดเลือดขาว
0017.choice4,เม็ดเลือดแดง,เม็ดเลือดแดง,เม็ดเลือดแดง
0018.question,หน่วยใดที่ใช้วัดปริมาณกระแสไฟฟ้า,หน่วยใดที่ใช้วัดปริมาณกระแสไฟฟ้า,หน่วยใดที่ใช้วัดปริมาณกระแสไฟฟ้า
0018.choice1,แอมป์,แอมป์,แอมป์
0018.choice2,โวลต์,โวลต์,โวลต์
0018.choice3,วัตต์,วัตต์,วัตต์
0018.choice4,โอห์ม,โอห์ม,โอห์ม
0019.question,หน่วยใดที่ใช้วัดความถี่ของคลื่น,หน่วยใดที่ใช้วัดความถี่ของคลื่น,หน่วยใดที่ใช้วัดความถี่ของคลื่น
0019.choice1,เฮิรตซ์,เฮิรตซ์,เฮิรตซ์
0019.choice2,นิวตัน,นิวตัน,นิวตัน
0019.choice3,เมตร,เมตร,เมตร
0019.choice4,แลมบ์ด้า,แลมบ์ด้า,แลมบ์ด้า
0020.question,แสงสีใดมีความยาวคลื่นสั้นที่สุด,แสงสีใดมีความยาวคลื่นสั้นที่สุด,แสงสีใดมีความยาวคลื่นสั้นที่สุด
0020.choice1,ม่วง,ม่วง,ม่วง
0020.choice2,เหลือง,เหลือง,เหลือง
0020.choice3,เขียว,เขียว,เขียว
0020.choice4,น้ำเงิน,น้ำเงิน,น้ำเงิน
0021.question,ดาวเคราะห์ดวงใดที่ใหญ่ที่สุดในระบบสุริยะ,ดาวเคราะห์ดวงใดที่ใหญ่ที่สุดในระบบสุริยะ,ดาวเคราะห์ดวงใดที่ใหญ่ที่สุดในระบบสุริยะ
0021.choice1,ดาวพฤหัสบดี,ดาวพฤหัสบดี,ดาวพฤหัสบดี
0021.choice2,ดาวเสาร์,ดาวเสาร์,ดาวเสาร์
0021.choice3,ดาวเนปจูน,ดาวเนปจูน,ดาวเนปจูน
0021.choice4,ดาวยูเรนัส,ดาวยูเรนัส,ดาวยูเรนัส
0022.question,ระบบใดที่ใช้ในการระบุตำแหน่ง,ระบบใดที่ใช้ในการระบุตำแหน่ง,ระบบใดที่ใช้ในการระบุตำแหน่ง
0022.choice1,GPS,GPS,GPS
0022.choice2,Bluetooth,Bluetooth,Bluetooth
0022.choice3,Wi-Fi,Wi-Fi,Wi-Fi
0022.choice4,NFC,NFC,NFC
0023.question,อวัยวะใดทำหน้าที่สูบฉีดเลือด,อวัยวะใดทำหน้าที่สูบฉีดเลือด,อวัยวะใดทำหน้าที่สูบฉีดเลือด
0023.choice1,หัวใจ,หัวใจ,หัวใจ
0023.choice2,ปอด,ปอด,ปอด
0023.choice3,ตับ,ตับ,ตับ
0023.choice4,ไต,ไต,ไต
0024.question,ผลไม้ที่ทำให้ Isaac Newton พบกฎแรงโน้มถ่วง,ผลไม้ที่ทำให้ Isaac Newton พบกฎแรงโน้มถ่วง,ผลไม้ที่ทำให้ Isaac Newton พบกฎแรงโน้มถ่วง
0024.choice1,แอปเปิล,แอปเปิล,แอปเปิล
0024.choice2,ส้ม,ส้ม,ส้ม
0024.choice3,ลูกแพร์,ลูกแพร์,ลูกแพร์
0024.choice4,แตงโม,แตงโม,แตงโม
0025.question,อวัยวะใดทำหน้าที่หลักในการดูดซึมสารอาหาร,อวัยวะใดทำหน้าที่หลักในการดูดซึมสารอาหาร,อวัยวะใดทำหน้าที่หลักในการดูดซึมสารอาหาร
0025.choice1,ลำไส้เล็ก,ลำไส้เล็ก,ลำไส้เล็ก
0025.choice2,ลำไส้ใหญ่,ลำไส้ใหญ่,ลำไส้ใหญ่
0025.choice3,กระเพาะอาหาร,กระเพาะอาหาร,กระเพาะอาหาร
0025.choice4,ตับอ่อน,ตับอ่อน,ตับอ่อน
0026.question,มนุษย์เพศชายมีโครโมโซมแบบใด,มนุษย์เพศชายมีโครโมโซมแบบใด,มนุษย์เพศชายมีโครโมโซมแบบใด
0026.choice1,XY,XY,XY
0026.choice2,XX,XX,XX
0026.choice3,X,X,X
0026.choice4,XO,XO,XO
0027.question,สัตว์ชนิดใดจัดเป็นสัตว์ไม่มีกระดูกสันหลัง,สัตว์ชนิดใดจัดเป็นสัตว์ไม่มีกระดูกสันหลัง,สัตว์ชนิดใดจัดเป็นสัตว์ไม่มีกระดูกสันหลัง
0027.choice1,แมงมุม,แมงมุม,แมงมุม
0027.choice2,นก,นก,นก
0027.choice3,กบ,กบ,กบ
0027.choice4,เป็ด,เป็ด,เป็ด
0028.question,ฮอร์โมนชนิดใดที่ควบคุมระดับน้ำตาลในเลือด,ฮอร์โมนชนิดใดที่ควบคุมระดับน้ำตาลในเลือด,ฮอร์โมนชนิดใดที่ควบคุมระดับน้ำตาลในเลือด
0028.choice1,Insulin,Insulin,Insulin
0028.choice2,Dopamine,Dopamine,Dopamine
0028.choice3,Adrenaline,Adrenaline,Adrenaline
0028.choice4,Estrogen,Estrogen,Estrogen
0029.question,ค่า pH 9 ถือว่าเป็นกรด,ค่า pH 9 ถือว่าเป็นกรด,ค่า pH 9 ถือว่าเป็นกรด
0030.question,โอโซนมีออกซิเจนกี่อะตอม,โอโซนมีออกซิเจนกี่อะตอม,โอโซนมีออกซิเจนกี่อะตอม
0031.question,สิ่งใดที่ใช้หลักการสะท้อนของคลื่นเสียง,สิ่งใดที่ใช้หลักการสะท้อนของคลื่นเสียง,สิ่งใดที่ใช้หลักการสะท้อนของคลื่นเสียง
0031.choice1,Ultrasound,Ultrasound,Ultrasound
0031.choice2,X-ray,X-ray,X-ray
0031.choice3,MRI,MRI,MRI
0031.choice4,CT Scan,CT Scan,CT Scan
0032.question,เรียงลำดับความแข็งของหินแร่จากมากไปน้อย,เรียงลำดับความแข็งของหินแร่จากมากไปน้อย,เรียงลำดับความแข็งของหินแร่จากมากไปน้อย
0032.choice1,เพชร,เพชร,เพชร
0032.choice2,ควอตซ์,ควอตซ์,ควอตซ์
0032.choice3,ยิปซัม,ยิปซัม,ยิปซัม
0033.question,สาเหตุของไข้มาลาเรียคือ,สาเหตุของไข้มาลาเรียคือ,สาเหตุของไข้มาลาเรียคือ
0033.choice1,โปรโตซัว,โปรโตซัว,โปรโตซัว
0033.choice2,ไวรัส,ไวรัส,ไวรัส
0033.choice3,แบคทีเรีย,แบคทีเรีย,แบคทีเรีย
0033.choice4,เชื้อรา,เชื้อรา,เชื้อรา
0034.question,สัตว์ชนิดใดที่เป็นสัตว์เลือดอุ่น,สัตว์ชนิดใดที่เป็นสัตว์เลือดอุ่น,สัตว์ชนิดใดที่เป็นสัตว์เลือดอุ่น
0034.choice1,นก,นก,นก
0034.choice2,ปลา,ปลา,ปลา
0034.choice3,งู,งู,งู
0034.choice4,กบ,กบ,กบ
0035.question,แหล่งพลังงานหลักที่สมองใช้ในการทำงานคือ,แหล่งพลังงานหลักที่สมองใช้ในการทำงานคือ,แหล่งพลังงานหลักที่สมองใช้ในการทำงานคือ
0035.choice1,กลูโคส,กลูโคส,กลูโคส
0035.choice2,ไขมัน,ไขมัน,ไขมัน
0035.choice3,วิตามิน,วิตามิน,วิตามิน
0035.choice4,โปรตีน,โปรตีน,โปรตีน
0036.question,ระบบภูมิคุ้มกันของร่างกายสร้างขึ้นจากอะไรเป็นหลัก,ระบบภูมิคุ้มกันของร่างกายสร้างขึ้นจากอะไรเป็นหลัก,ระบบภูมิคุ้มกันของร่างกายสร้างขึ้นจากอะไรเป็นหลัก
0036.choice1,เม็ดเลือดขาว,เม็ดเลือดขาว,เม็ดเลือดขาว
0036.choice2,เม็ดเลือดแดง,เม็ดเลือดแดง,เม็ดเลือดแดง
0036.choice3,เกล็ดเลือด,เกล็ดเลือด,เกล็ดเลือด
0036.choice4,พลาสมา,พลาสมา,พลาสมา
0037.question,เลนส์ชนิดใดที่ใช้ในการแก้ไขสายตายาว,เลนส์ชนิดใดที่ใช้ในการแก้ไขสายตายาว,เลนส์ชนิดใดที่ใช้ในการแก้ไขสายตายาว
0037.choice1,เลนส์นูน,เลนส์นูน,เลนส์นูน
0037.choice2,เลนส์เว้า,เลนส์เว้า,เลนส์เว้า
0037.choice3,เลนส์กรองแสง,เลนส์กรองแสง,เลนส์กรองแสง
0037.choice4,เลนส์ปรับแสง,เลนส์ปรับแสง,เลนส์ปรับแสง
0038.question,การทำงานของเรือดำน้ำอาศัยหลักการของใคร,การทำงานของเรือดำน้ำอาศัยหลักการของใคร,การทำงานของเรือดำน้ำอาศัยหลักการของใคร
0038.choice1,Archimedes,Archimedes,Archimedes
0038.choice2,Isaac Newton,Isaac Newton,Isaac Newton
0038.choice3,Daniel Bernoulli,Daniel Bernoulli,Daniel Bernoulli
0038.choice4,Albert Einstein,Albert Einstein,Albert Einstein
0039.question,มนุษย์มีกระดูกในร่างกายกี่ชิ้น,มนุษย์มีกระดูกในร่างกายกี่ชิ้น,มนุษย์มีกระดูกในร่างกายกี่ชิ้น
0040.question,หน่วยใดที่ใช้วัดความดัน,หน่วยใดที่ใช้วัดความดัน,หน่วยใดที่ใช้วัดความดัน
0040.choice1,ปาสคาล,ปาสคาล,ปาสคาล
0040.choice2,วัตต์,วัตต์,วัตต์
0040.choice3,นิวตัน,นิวตัน,นิวตัน
0040.choice4,จูล,จูล,จูล
0041.question,เสียงเดินทางผ่านตัวกลางใดได้ดีที่สุด,เสียงเดินทางผ่านตัวกลางใดได้ดีที่สุด,เสียงเดินทางผ่านตัวกลางใดได้ดีที่สุด
0041.choice1,ของแข็ง,ของแข็ง,ของแข็ง
0041.choice2,ของเหลว,ของเหลว,ของเหลว
0041.choice3,แก๊ส,แก๊ส,แก๊ส
0041.choice4,สุญญากาศ,สุญญากาศ,สุญญากาศ
0042.question,ธาตุที่เป็นส่วนประกอบหลักของเพชรคือ,ธาตุที่เป็นส่วนประกอบหลักของเพชรคือ,ธาตุที่เป็นส่วนประกอบหลักของเพชรคือ
0042.choice1,คาร์บอน,คาร์บอน,คาร์บอน
0042.choice2,ซิลิคอน,ซิลิคอน,ซิลิคอน
0042.choice3,ทองแดง,ทองแดง,ทองแดง
0042.choice4,ออกซิเจน,ออกซิเจน,ออกซิเจน
0043.question,อนุภาคที่มีประจุไฟฟ้าเป็นลบในอะตอมคืออะไร,อนุภาคที่มีประจุไฟฟ้าเป็นลบในอะตอมคืออะไร,อนุภาคที่มีประจุไฟฟ้าเป็นลบในอะตอมคืออะไร
0043.choice1,อิเล็กตรอน,อิเล็กตรอน,อิเล็กตรอน
0043.choice2,โปรตอน,โปรตอน,โปรตอน
0043.choice3,นิวตรอน,นิวตรอน,นิวตรอน
0043.choice4,โฟตอน,โฟตอน,โฟตอน
0044.question,ปรอทอยู่ในสถานะของเหลวที่อุณหภูมิห้อง,ปรอทอยู่ในสถานะของเหลวที่อุณหภูมิห้อง,ปรอทอยู่ในสถานะของเหลวที่อุณหภูมิห้อง
0045.question,ดาวพฤหัสบดีมีดวงจันทร์บริวารกี่ดวง,ดาวพฤหัสบดีมีดวงจันทร์บริวารกี่ดวง,ดาวพฤหัสบดีมีดวงจันทร์บริวารกี่ดวง
0046.question,จุดเดือดของน้ำในหน่วย °F คือ,จุดเดือดของน้ำในหน่วย °F คือ,จุดเดือดของน้ำในหน่วย °F คือ
0047.question,การสแกนบาร์โค้ดใช้หลักการใดในการอ่านข้อมูล,การสแกนบาร์โค้ดใช้หลักการใดในการอ่านข้อมูล,การสแกนบาร์โค้ดใช้หลักการใดในการอ่านข้อมูล
0047.choice1,แสง,แสง,แสง
0047.choice2,เสียง,เสียง,เสียง
0047.choice3,ความร้อน,ความร้อน,ความร้อน
0047.choice4,แม่เหล็ก,แม่เหล็ก,แม่เหล็ก
0048.question,เรียงลำดับสัตว์ที่มีจำนวนขาจากมากไปน้อย,เรียงลำดับสัตว์ที่มีจำนวนขาจากมากไปน้อย,เรียงลำดับสัตว์ที่มีจำนวนขาจากมากไปน้อย
0048.choice1,ตะขาบ,ตะขาบ,ตะขาบ
0048.choice2,แมงมุม,แมงมุม,แมงมุม
0048.choice3,มด,มด,มด
0049.question,เรียงลำดับปีเกิดของนักวิทยาศาสตร์จากก่อนไปหลัง,เรียงลำดับปีเกิดของนักวิทยาศาสตร์จากก่อนไปหลัง,เรียงลำดับปีเกิดของนักวิทยาศาสตร์จากก่อนไปหลัง
0049.choice1,Aristotle,Aristotle,Aristotle
0049.choice2,Galileo Galilei,Galileo Galilei,Galileo Galilei
0049.choice3,Albert Einstein,Albert Einstein,Albert Einstein
0050.question,เราใส่คลอรีนเพื่อฆ่าเชื้อโรคในน้ำ,เราใส่คลอรีนเพื่อฆ่าเชื้อโรคในน้ำ,เราใส่คลอรีนเพื่อฆ่าเชื้อโรคในน้ำ
0051.question,อนุภาคนิวตรอนมีประจุไฟฟ้าเป็นบวก,อนุภาคนิวตรอนมีประจุไฟฟ้าเป็นบวก,อนุภาคนิวตรอนมีประจุไฟฟ้าเป็นบวก
0052.question,กระดูกส่วนที่ใหญ่ที่สุดในร่างกายคือกระดูกต้นขา,กระดูกส่วนที่ใหญ่ที่สุดในร่างกายคือกระดูกต้นขา,กระดูกส่วนที่ใหญ่ที่สุดในร่างกายคือกระดูกต้นขา
0053.question,โลมาเป็นสัตว์เลี้ยงลูกด้วยนม,โลมาเป็นสัตว์เลี้ยงลูกด้วยนม,โลมาเป็นสัตว์เลี้ยงลูกด้วยนม
0054.question,Albert Einstein เป็นชาวอิตาลี,Albert Einstein เป็นชาวอิตาลี,Albert Einstein เป็นชาวอิตาลี
0055.question,ฟุตบอลโลก 2022 จัดขึ้นที่ประเทศใด,ฟุตบอลโลก 2022 จัดขึ้นที่ประเทศใด,ฟุตบอลโลก 2022 จัดขึ้นที่ประเทศใด
0055.choice1,กาตาร์,กาตาร์,กาตาร์
0055.choice2,บราซิล,บราซิล,บราซิล
0055.choice3,เยอรมนี,เยอรมนี,เยอรมนี
0055.choice4,รัสเซีย,รัสเซีย,รัสเซีย
0056.question,นักฟุตบอลคนใดได้รางวัล Ballon d'Or มากที่สุด,นักฟุตบอลคนใดได้รางวัล Ballon d'Or มากที่สุด,นักฟุตบอลคนใดได้รางวัล Ballon d'Or มากที่สุด
0056.choice1,Lionel Messi,Lionel Messi,Lionel Messi
0056.choice2,Cristiano Ronaldo,Cristiano Ronaldo,Cristiano Ronaldo
0056.choice3,Diego Maradona,Diego Maradona,Diego Maradona
0056.choice4,Pele,Pele,Pele
0057.question,สโมสรฟุตบอลใดคว้าแชมป์ยูฟ่าแชมเปียนส์ลีกมากที่สุด,สโมสรฟุตบอลใดคว้าแชมป์ยูฟ่าแชมเปียนส์ลีกมากที่สุด,สโมสรฟุตบอลใดคว้าแชมป์ยูฟ่าแชมเปียนส์ลีกมากที่สุด
0057.choice1,Real Madrid,Real Madrid,Real Madrid
0057.choice2,Liverpool,Liverpool,Liverpool
0057.choice3,Bayern Munich,Bayern Munich,Bayern Munich
0057.choice4,Barcelona,Barcelona,Barcelona
0058.question,Old Trafford เป็นสนามเหย้าของทีมใด,Old Trafford เป็นสนามเหย้าของทีมใด,Old Trafford เป็นสนามเหย้าของทีมใด
0058.choice1,Manchester United,Manchester United,Manchester United
0058.choice2,Manchester City,Manchester City,Manchester City
0058.choice3,Liverpool,Liverpool,Liverpool
0058.choice4,Arsenal,Arsenal,Arsenal
0059.question,VAR ย่อมาจาก Video Assistant Review,VAR ย่อมาจาก Video Assistant Review,VAR ย่อมาจาก Video Assistant Review
0060.question,นักบาสเกตบอลฉายา Black Mamba คือใคร,นักบาสเกตบอลฉายา Black Mamba คือใคร,นักบาสเกตบอลฉายา Black Mamba คือใคร
0060.choice1,Kobe Bryant,Kobe Bryant,Kobe Bryant
0060.choice2,Michael Jordan,Michael Jordan,Michael Jordan
0060.choice3,LeBron James,LeBron James,LeBron James
0060.choice4,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal
0061.question,ผู้เล่นคนใดทำคะแนนสูงสุดตลอดกาลใน NBA,ผู้เล่นคนใดทำคะแนนสูงสุดตลอดกาลใน NBA,ผู้เล่นคนใดทำคะแนนสูงสุดตลอดกาลใน NBA
0061.choice1,LeBron James,LeBron James,LeBron James
0061.choice2,Michael Jordan,Michael Jordan,Michael Jordan
0061.choice3,Kobe Bryant,Kobe Bryant,Kobe Bryant
0061.choice4,Stephen Curry,Stephen Curry,Stephen Curry
0062.question,ทีมที่คว้าแชมป์ NBA ในปี 2020 คือทีมอะไร,ทีมที่คว้าแชมป์ NBA ในปี 2020 คือทีมอะไร,ทีมที่คว้าแชมป์ NBA ในปี 2020 คือทีมอะไร
0062.choice1,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers
0062.choice2,Boston Celtics,Boston Celtics,Boston Celtics
0062.choice3,Chicago Bulls,Chicago Bulls,Chicago Bulls
0062.choice4,Golden State Warriors,Golden State Warriors,Golden State Warriors
0063.question,Grand Slam รายการใดที่เล่นบนคอร์ทดิน,Grand Slam รายการใดที่เล่นบนคอร์ทดิน,Grand Slam รายการใดที่เล่นบนคอร์ทดิน
0063.choice1,French Open,French Open,French Open
0063.choice2,U.S. Open,U.S. Open,U.S. Open
0063.choice3,Wimbledon,Wimbledon,Wimbledon
0063.choice4,Australian Open,Australian Open,Australian Open
0064.question,เรียงลำดับรายการ Grand Slam จากเก่าไปใหม่,เรียงลำดับรายการ Grand Slam จากเก่าไปใหม่,เรียงลำดับรายการ Grand Slam จากเก่าไปใหม่
0064.choice1,Wimbledon,Wimbledon,Wimbledon
0064.choice2,French Open,French Open,French Open
0064.choice3,Australian Open,Australian Open,Australian Open
0065.question,นักเทนนิสชายคนใดคว้าแชมป์ Grand Slam ได้มากที่สุด,นักเทนนิสชายคนใดคว้าแชมป์ Grand Slam ได้มากที่สุด,นักเทนนิสชายคนใดคว้าแชมป์ Grand Slam ได้มากที่สุด
0065.choice1,Novak Djokovic,Novak Djokovic,Novak Djokovic
0065.choice2,Roger Federer,Roger Federer,Roger Federer
0065.choice3,Rafael Nadal,Rafael Nadal,Rafael Nadal
0065.choice4,Pete Sampras,Pete Sampras,Pete Sampras
0066.question,บาสเกตบอล NBA เล่นควอเตอร์ละกี่นาที,บาสเกตบอล NBA เล่นควอเตอร์ละกี่นาที,บาสเกตบอล NBA เล่นควอเตอร์ละกี่นาที
0067.question,นักกอล์ฟตีลูกออกนอกสนามเรียกว่าอะไร,นักกอล์ฟตีลูกออกนอกสนามเรียกว่าอะไร,นักกอล์ฟตีลูกออกนอกสนามเรียกว่าอะไร
0067.choice1,OB,OB,OB
0067.choice2,birdie,birdie,birdie
0067.choice3,par,par,par
0067.choice4,bogey,bogey,bogey
0068.question,สีเสื้อที่ Tiger Woods ชอบใส่คือสีอะไร,สีเสื้อที่ Tiger Woods ชอบใส่คือสีอะไร,สีเสื้อที่ Tiger Woods ชอบใส่คือสีอะไร
0068.choice1,แดง,แดง,แดง
0068.choice2,ขาว,ขาว,ขาว
0068.choice3,ดำ,ดำ,ดำ
0068.choice4,น้ำเงิน,น้ำเงิน,น้ำเงิน
0069.question,กอล์ฟรายการใดที่สวมแจ็คเก็ตสีเขียวให้ผู้ชนะ,กอล์ฟรายการใดที่สวมแจ็คเก็ตสีเขียวให้ผู้ชนะ,กอล์ฟรายการใดที่สวมแจ็คเก็ตสีเขียวให้ผู้ชนะ
0069.choice1,The Masters,The Masters,The Masters
0069.choice2,US Open,US Open,US Open
0069.choice3,PGA,PGA,PGA
0069.choice4,The Open,The Open,The Open
0070.question,ผู้ชนะรายการกอล์ฟ The Masters ปี 2024 คือใคร,ผู้ชนะรายการกอล์ฟ The Masters ปี 2024 คือใคร,ผู้ชนะรายการกอล์ฟ The Masters ปี 2024 คือใคร
0070.choice1,Scottie Scheffler,Scottie Scheffler,Scottie Scheffler
0070.choice2,John Rahm,John Rahm,John Rahm
0070.choice3,Matsuyama Hideki,Matsuyama Hideki,Matsuyama Hideki
0070.choice4,Tiger Woods,Tiger Woods,Tiger Woods
0071.question,Michael Phelps ได้เหรียญทองใน Olympic รวมทั้งหมดกี่เหรียญ,Michael Phelps ได้เหรียญทองใน Olympic รวมทั้งหมดกี่เหรียญ,Michael Phelps ได้เหรียญทองใน Olympic รวมทั้งหมดกี่เหรียญ
0072.question,นักมวยสากลสมัครเล่นรุ่นเฮฟวี่เวทต้องหนักมากกว่าเท่าไหร่,นักมวยสากลสมัครเล่นรุ่นเฮฟวี่เวทต้องหนักมากกว่าเท่าไหร่,นักมวยสากลสมัครเล่นรุ่นเฮฟวี่เวทต้องหนักมากกว่าเท่าไหร่
0072.choice1,200 ปอนด์,200 ปอนด์,200 ปอนด์
0072.choice2,175 ปอนด์,175 ปอนด์,175 ปอนด์
0072.choice3,168 ปอนด์,168 ปอนด์,168 ปอนด์
0072.choice4,215 ปอนด์,215 ปอนด์,215 ปอนด์
0073.question,ทีมวอลเลย์บอลมีผู้เล่นในสนามกี่คน,ทีมวอลเลย์บอลมีผู้เล่นในสนามกี่คน,ทีมวอลเลย์บอลมีผู้เล่นในสนามกี่คน
0074.question,ตำแหน่งตัวเล่นอิสระในวอลเลย์บอลเรียกว่าอะไร,ตำแหน่งตัวเล่นอิสระในวอลเลย์บอลเรียกว่าอะไร,ตำแหน่งตัวเล่นอิสระในวอลเลย์บอลเรียกว่าอะไร
0074.choice1,Libero,Libero,Libero
0074.choice2,Setter,Setter,Setter
0074.choice3,Hitter,Hitter,Hitter
0074.choice4,Blocker,Blocker,Blocker
0075.question,โลโก้ Olympic มีกี่ห่วง,โลโก้ Olympic มีกี่ห่วง,โลโก้ Olympic มีกี่ห่วง
0076.question,ห่วงตรงกลางของโลโก้ Olympic มีสีอะไร,ห่วงตรงกลางของโลโก้ Olympic มีสีอะไร,ห่วงตรงกลางของโลโก้ Olympic มีสีอะไร
0076.choice1,ดำ,ดำ,ดำ
0076.choice2,แดง,แดง,แดง
