NO,QUESTION,CHOICE 1,CHOICE 2,CHOICE 3,CHOICE 4,TYPE,LEVEL,CATEGORY 1,CATEGORY 2,LOCATION
0080,กีฬาคริกเก็ต คนขว้างลูกจะถูกเรียกว่า Pitcher,FALSE,TRUE,,,True False,2,sports,none,#none
0081,อเมริกันฟุตบอลและรักบี้มีจำนวนผู้เล่นในสนามเท่ากัน,FALSE,TRUE,,,True False,2,sports,none,#none
0082,รักบี้มีผู้เล่นในสนามทีมละกี่คน,15,9,11,13,4 Choice,2,sports,none,#none
0083,เรียงลำดับกีฬาที่มีผู้เล่นในสนามต่อทีมจากมากไปน้อย,ฟุตบอล,วอลเลย์บอล,บาสเกตบอล,,Sorting,2,sports,none,#none
0084,กีฬาใดที่ผู้เล่นต้องนั่งบนหลังม้า,โปโล,ฮอกกี้,รักบี้,สกี,4 Choice,1,sports,none,#none
0085,การแข่งขันฟุตบอลโลกจัดขึ้นครั้งแรกในปีใด,1930,,,,Number Guessing,3,sports,none,#none
0086,บาสเกตบอลทำแต้มได้มากสุดกี่แต้มต่อการยิงลูก 1 ครั้ง,3,2,4,5,4 Choice,1,sports,none,#none
0087,Michael Jordan โด่งดังกับทีมอะไร,Chicago Bulls,Los Angeles Lakers,San Antonio Spurs,Miami Heat,4 Choice,2,sports,none,#none
0088,Michael Jordan เคยเล่นให้ทีม Washington Wizards,TRUE,FALSE,,,True False,2,sports,none,#none
0089,บาสเกตบอลกำเนิดขึ้นที่ประเทศใด,สหรัฐอเมริกา,จีน,อังกฤษ,เยอรมนี,4 Choice,2,sports,none,#New York
0090,ศิลปะป้องกันตัวยิวยิตสูเกิดที่ประเทศใด,ญี่ปุ่น,บลาซิล,เกาหลีใต้,แคเมอรูน,4 Choice,1,sports,none,#Tokyo
0091,ตาข่ายวอลเลย์บอลหญิงสูงเท่าไหร่,2.24 เมตร,2.20 เมตร,2.22 เมตร,2.18 เมตร,4 Choice,3,sports,none,#none
0092,ข้อใดคือรายการแข่งขันจักรยานทางไกล,Tour de France,French Open,The Masters,Wimbledon,4 Choice,1,sports,none,#Paris
0093,Olympic 2024 สหรัฐอเมริกาได้เหรียญทองเท่ากับจีน,TRUE,FALSE,,,True False,1,sports,none,#none
0094,กีฬา Olympic โบราณจัดขึ้นเพื่อบูชาเทพ Zeus,TRUE,FALSE,,,True False,1,sports,History,#none
0095,TKO ในกีฬามวยย่อมาจาก Tradition Knockout,FALSE,TRUE,,,True False,1,sports,none,#none
0096,ทีมที่ชนะฟุตบอลโลกครั้งแรกคือบลาซิล,FALSE,TRUE,,,True False,2,sports,none,#none
0097,เรียงลำดับประเทศที่ได้เหรียญรางวัลรวมใน Olympic 2024 จากมากไปน้อย ,จีน,ญี่ปุ่น,เกาหลีใต้,,Sorting,2,sports,none,#none
0098,เรียงลำดับน้ำหนักรุ่นต่างๆในกีฬามวยจากมากไปน้อย,Heavyweight,Middleweight,Featherweight,,Sorting,2,sports,none,#none
0099,เรียงลำดับระยะทางการวิ่งจากมากไปน้อย,Marathon,Half marathon,Mini marathon,,Sorting,2,sports,none,#none
0100,จำนวนหลุมมาตรฐานในการแข่งขันกอล์ฟคือเท่าใด,18,,,,Number Guessing,3,sports,none,#none
0101, กีฬา Olympic ฤดูหนาวจัดขึ้นครั้งแรกในปีใด,1924,,,,Number Guessing,3,sports,none,#none
0102,Love หมายถึงคะแนนเท่าไหร่ในกีฬาเทนนิส,0,15,30,40,4 Choice,2,sports,none,#none
0103,The Lightning Bolt เป็นฉายาของนักกรีฑาคนใด,Usain Bolt,Carl Lewis,Michael Johnson,Tyson Gay,4 Choice,2,sports,none,#none
0104,Strike และ Spare เป็รศัพท์เฉพาะของกีฬาใด,โบว์ลิ่ง,สนุกเกอร์,บิลเลียด,ปิงปอง,4 Choice,1,sports,none,#none
0105,การแข่งขันกอล์ฟประเภททีมระหว่างยุโรปและสหรัฐอเมริกามีชื่อว่าอะไร,Ryder Cup,Presidents Cup,Solheim Cup,World Cup of Golf,4 Choice,2,sports,none,#none
0106,สนามฟุตบอลที่ใหญ่ที่สุดในโลกอยู่ที่ประเทศ,เกาหลีเหนือ,จีน,บลาซิล,อังกฤษ,4 Choice,3,sports,none,#none
0107,จักรวรรดิมองโกลถูกก่อตั้งโดยใคร,เจงกิส ข่าน,บาตู ข่าน,ฮูลากู ข่าน,กุบไล ข่าน,4 Choice,1,History,none,#none
0108,ใครเป็นผู้ค้นพบทวีปอเมริกาในปี ค.ศ.1492,Christopher Columbus,Vasco da Gama,Ferdinand Magellan,James Cook,4 Choice,1,History,none,#none
0109,Napoleon Bonaparte เป็นชาวอะไร,ฝรั่งเศส,อิตาลี,สเปน,รัสเซีย,4 Choice,1,History,none,#Paris
0110,ชาวอินเดียที่ใช้หลักอหิงสาเพื่อเรียกร้องเอกราชจากอังกฤษคือใคร,Mahatma Gandhi,Jawaharlal Nehru,Subhas Chandra Bose,Sardar Patel,4 Choice,1,History,none,#none
0111,ศาสนาพุทธมีต้นกำเนิดในประเทศใด,อินเดีย,เนปาล,จีน,ไทย,4 Choice,1,History,none,#none
0112,ใครคือนักเคลื่อนไหวต่อต้านการแบ่งแยกสีผิวที่ได้รับรางวัลโนเบลสาขาสันติภาพ,Nelson Mandela,Steve Biko,Oliver Tambo,Desmond Tutu,4 Choice,1,History,none,#none
0113,Gulag เป็นชื่อเรียกคุกของรัฐบาลใด,สหภาพโซเวียต,นาซีเยอรมัน,จักรวรรดิญี่ปุ่น,จีนคอมมิวนิสต์,4 Choice,1,History,none,#none
0114,อักษรภาพ Hieroglyphs เป็นระบบการเขียนของอารยธรรมใด,อียิปต์โบราณ,เมโสโปเตเมีย,กรีก,โรมัน,4 Choice,1,History,none,#Cairo
0115,เส้นทางการค้าที่เชื่อเอเชียกับยุโรปคือ,เส้นทางสายไหม,เส้นทางลูกแพร์,เส้นทางทองคำ,เส้นทางเครื่องเทศ,4 Choice,1,History,none,#none
0116,ผู้สร้างจักรวรรดิที่กว้างใหญ่จากกรีซไปจนถึงอินเดียคือใคร,Alexander the Great,Leonidas,Pericles,Philip II,4 Choice,2,History,none,#none
0117,สาเหตุที่ทำให้เกิดการระบาดของโรคกาฬโรคในยุโรปคือ,การค้า,สงคราม,สภาพภูมิอากาศ,โรคระบาดจากพืช,4 Choice,2,History,none,#none
0118,การปฏิวัติอุตสาหกรรมเริ่มต้นขึ้นในประเทศใด,สหราชอาณาจักร,สหรัฐอเมริกา,เยอรมนี, ฝรั่งเศส,4 Choice,2,History,none,#London
0119,ใครคือประธานาธิบดีสหรัฐอเมริกาในช่วงสงครามโลกครั้งที่ 2,Franklin D. Roosevelt,Harry S. Truman,Dwight D. Eisenhower,Woodrow Wilson,4 Choice,2,History,none,#New York
0120,การปฏิวัติรัสเซียในปี 1917 ทำให้สิ้นสุดการปกครองของราชวงศ์ใด,Romanov,Habsburg,Hohenzollern,Bourbon,4 Choice,2,History,none,#none
0121,นักบินอวกาศคนแรกที่เดินทางออกนอกโลกคือใคร,Yuri Gagarin,Neil Armstrong,John Glenn,Buzz Aldrin,4 Choice,2,History,none,#none
0122,ในปี 1900 ญี่ปุ่นอยู่ในยุคใด,เมจิ,เอโดะ,ไทโช,โชวะ,4 Choice,2,History,none,#Tokyo
0123,อารยธรรม Aztec เกิดขึ้นที่ประเทศอะไร,เม็กซิโก,โคลัมเบีย,สเปน,โรมาเนีย,4 Choice,2,History,none,#none
0124,"ประธานาธิบดีสหรัฐอเมริกาคนใดที่ออก ""คำประกาศเลิกทาส"" ",Abraham Lincoln,George Washington,Andrew Jackson,Ulysses S. Grant,4 Choice,2,History,none,#New York
0125,Ferdinand Magellan เป็นนักเดินเรือชาวอะไร,โปรตุเกส,ฝรั่งเศส,สเปน,อังกฤษ,4 Choice,2,History,none,#none
0126,สงครามร้อยปีเป็นความขัดแย้งระหว่างประเทศใด,อังกฤษ และ ฝรั่งเศส,สเปน และ โปรตุเกส,เยอรมนี และ รัสเซีย,อิตาลี และ ออสเตรีย,4 Choice,2,History,none,#none
0127,การทลายกำแพงเบอร์ลินถือเป็นการสิ้นสุดของเหตุการณ์ใด,สงครามเย็น,สงครามโลกครั้งที่ 1,สงครามโลกครั้งที่ 2,สงครามร้อยปี,4 Choice,2,History,none,#none
0128,สงครามฝิ่นเกิดขึ้นในช่วงใด,คริสต์ศตวรรษที่ 19,คริสต์ศตวรรษที่ 17,คริสต์ศตวรรษที่ 18,คริสต์ศตวรรษที่ 20,4 Choice,2,History,none,#none
0129,Mona Lisa เป็นผลงานของศิลปินท่านใด,Leonardo da Vinci,Raphael,Michelangelo,Donatello,4 Choice,2,History,none,#none
0130,ยุคเรอเนซองส์เริ่มต้นขึ้นในเมืองใดของอิตาลี,Florence,Rome,Venice,Milan,4 Choice,2,History,none,#none
0131,กำแพงเมืองจีนสร้างขึ้นในสมัยราชวงศ์ใดเป็นหลัก,ฉิน,ฮั่น,ถัง,หมิง,4 Choice,3,History,none,#none
0132,ปิรามิดที่ใหญ่ที่สุดในอียิปต์โบราณคือปิรามิดของฟาโรห์องค์ใด,Khufu,Tutankhamun,Ramesses II,Menkaure,4 Choice,3,History,none,#Cairo
0133,สงครามโลกครั้งที่ 1 เริ่มต้นขึ้นในปีใด,1914,1904,1924,1934,4 Choice,3,History,none,#none
0134,สงครามเวียดนามสิ้นสุดลงในปีใด,1975,1965,1970,1980,4 Choice,3,History,none,#none
0135,ใครคือผู้ก่อตั้งราชวงศ์โมกุลในอินเดีย,Babur,Akbar,Shah Jahan,Aurangzeb,4 Choice,3,History,none,#none
0136,ใครคือผู้ที่ได้รับการยอมรับว่าเป็นบิดาแห่งประวัติศาสตร์,Herodotus,Thucydides,Plutarch,Caesar,4 Choice,3,History,none,#none
0137,โชกุนคนแรกในยุคเอโดะคือ Oda Nobunaga,FALSE,TRUE,,,True False,1,History,none,#Tokyo
0138,ประธานาธิบดีคนแรกของสหรัฐอเมริกาคือ George Washington,TRUE,FALSE,,,True False,1,History,none,#New York
0139,The Starry Night เป็นผลงานของ Claude Monet,FALSE,TRUE,,,True False,1,History,none,#none
0140,นักบินอวกาศคนแรกที่เดินทางออกนอกโลกเป็นชาวอเมริกา,FALSE,TRUE,,,True False,2,History,none,#none
0141,กำแพงเบอร์ลินถูกทำลายลงในปี 1989,TRUE,FALSE,,,True False,2,History,none,#none
0142,ยุคสัมฤทธิ์มาก่อนยุคเหล็ก,TRUE,FALSE,,,True False,2,History,none,#none
0143,Che Guevara เป็นชาวอาร์เจนตินา,TRUE,FALSE,,,True False,2,History,none,#none
0144,คลองสุเอซเชื่อมต่อมหาสมุทรแอตแลนติกกับแปซิฟิก,FALSE,TRUE,,,True False,2,History,none,#none
0145,พีระมิดที่ใหญ่ที่สุดเป็นของฟาโรห์ Tutankhamun,FALSE,TRUE,,,True False,2,History,none,#Cairo
0146,เรียงลำดับปีเกิดศิลปินชื่อดังจากก่อนไปหลัง,Leonardo da Vinci,Vincent van Gogh,Andy Warhol,,Sorting,2,History,none,#none
0147,เรียงลำดับยุคของญี่ปุ่นจากเก่าไปใหม่,ยุคยาโยอิ,ยุคนารา,ยุคเอโดะ,,Sorting,2,History,none,#Tokyo
0148,เรียงลำดับยุคก่อนประวัติศาสตร์จากเก่าไปใหม่,ยุคหิน,ยุคสัมฤทธิ์,ยุคเหล็ก,,Sorting,2,History,none,#none
0149,เรียงลำดับอารยธรรมจากเก่าไปใหม่,Maya,Aztec,Inca,,Sorting,3,History,none,#none
0150,เรียงลำดับเหตุการณ์จากก่อนไปหลัง,สงครามฝิ่น,สงครามโลกครั้งที่ 1,สงครามเย็น,,Sorting,3,History,none,#none
0151,เรียงลำดับยุคศิลปะจากเก่าไปใหม่,Gothic,Renaissance,Baroque,,Sorting,3,History,none,#none
0152,กษัตริย์ฝรั่งเศสผู้ถูกสำเร็จโทษด้วยกิโยตินคือพระเจ้าหลุยส์ที่เท่าไหร่,16,,,,Number Guessing,3,History,none,#Paris
0153,การประกาศอิสรภาพของสหรัฐอเมริกาเกิดขึ้นในปีใด,1776,,,,Number Guessing,3,History,none,#New York
0154,สหภาพโซเวียตแตกออกมาเป็นกี่ประเทศหลังการล่มสลาย,15,,,,Number Guessing,3,History,none,#none
0155,แม่น้ำที่ยาวที่สุดในโลกคือแม่น้ำใด,แม่น้ำไนล์,แม่น้ำแอมะซอน,แม่น้ำแยงซี,แม่น้ำมิสซิสซิปปี,4 Choice,1,Geography,none,#none
0156,ยอดเขาที่สูงที่สุดในโลกคือยอดเขาใด,ยอดเขาเอเวอเรสต์,ยอดเขาคิลิมันจาโร,ยอดเขา K2,ยอดเขาเอลบรุส,4 Choice,1,Geography,none,#none
0157,ทะเลทรายที่ใหญ่ที่สุดในโลกคือทะเลทรายใด,ทะเลทรายซาฮารา,ทะเลทรายโกบี,ทะเลทรายอาหรับ,ทะเลทรายเกรตวิกตอเรีย,4 Choice,1,Geography,none,#none
0158,มหาสมุทรที่ใหญ่ที่สุดในโลกคือมหาสมุทรใด,มหาสมุทรแปซิฟิก,มหาสมุทรอาร์กติก,มหาสมุทรอินเดีย,มหาสมุทรแอตแลนติก,4 Choice,1,Geography,none,#none
0159,เมืองหลวงของประเทศฝรั่งเศสคือเมืองใด,Paris,Madrid,Rome,Berlin,4 Choice,1,Geography,none,#Paris
0160,ทวีปที่เล็กที่สุดในโลกคือทวีปใด,ออสเตรเลีย,ยุโรป,อเมริกาใต้,แอนตาร์กติกา,4 Choice,1,Geography,none,#none
0161,ประเทศที่มีพื้นที่ใหญ่ที่สุดในทวีปอเมริกาใต้คือประเทศใด,บราซิล,โคลอมเบีย,อาร์เจนตินา,เปรู,4 Choice,1,Geography,none,#none
0162,ทะเลสาบที่เค็มที่สุดในโลกคือทะเลสาบใด,ทะเลเดดซี,ทะเลสาบแอรัล,ทะเลสาบเกรตซอลต์,ทะเลสาบแคสเปียน,4 Choice,1,Geography,none,#none
0163,ประเทศใดเป็นที่ตั้งของสโตนเฮนจ์,อังกฤษ,ฝรั่งเศส,ไอร์แลนด์,เยอรมนี,4 Choice,1,Geography,none,#London
0164,ช่องแคบที่กั้นระหว่างสเปนและโมร็อกโกคือช่องแคบใด,ช่องแคบยิบรอลตาร์,ช่องแคบโดเวอร์,ช่องแคบมะละกา,ช่องแคบบอสฟอรัส,4 Choice,2,Geography,none,#none
0165,เกาะที่ใหญ่ที่สุดในโลกคือเกาะใด,เกาะกรีนแลนด์,เกาะนิวกินี,เกาะบอร์เนียว,เกาะมาดากัสการ์,4 Choice,2,Geography,none,#none
0166,Grand Canyon ตั้งอยู่ในรัฐใดของสหรัฐอเมริกา,Arizona,Colorado,California,Texas,4 Choice,2,Geography,none,#New York
0167,ทะเลสาบที่ใหญ่ที่สุดในทวีปแอฟริกาคือทะเลสาบใด,ทะเลสาบวิกตอเรีย,ทะเลสาบมาลาวี,ทะเลสาบแทนกันยิกา,ทะเลสาบเทอร์คานา,4 Choice,2,Geography,none,#none
0168,เมืองหลวงของประเทศแคนาดาคือเมืองใด,Ottawa,Toronto,Vancouver,Montreal,4 Choice,2,Geography,none,#none
0169,ประเทศใดมีพื้นที่ใหญ่ที่สุดในโลก,รัสเซีย,แคนาดา,จีน,สหรัฐอเมริกา,4 Choice,2,Geography,none,#none
0170,เทือกเขาแอนดีสตั้งอยู่ในทวีปใด,อเมริกาใต้,อเมริกาเหนือ,ยุโรป,เอเชีย,4 Choice,2,Geography,none,#none
0171,คาบสมุทรที่ใหญ่ที่สุดในโลกคือคาบสมุทรใด,คาบสมุทรอาหรับ,คาบสมุทรไอบีเรีย,คาบสมุทรอินโดจีน,คาบสมุทรบอลข่าน,4 Choice,2,Geography,none,#none
0172,เมืองใดที่เป็นที่ตั้งของประตู Brandenburg,Berlin,Vienna,Paris,London,4 Choice,2,Geography,none,#none
0173,เมืองหลวงของออสเตรเลียคือเมืองใด,Canberra,Melbourne,Sydney,Brisbane,4 Choice,2,Geography,none,#none
